"注册区域","博物馆名称","性质","等级","地址"
"天府新区
","成都立云陶瓷博物馆","非国有","无","华阳劝学路116号"
"天府新区
","成都毛家湾艺术博物馆","非国有","无","四川省成都市天府新区正兴镇回龙社区"
"高新
","四川原道文化博物馆","非国有","无","成都市龙泉驿区洛带古镇三峨街999号"
"高新
","成都华通博物馆","非国有","三级","孵化园"
"高新
","成都紫云鼎书画艺术博物馆","非国有","无","益州大道北段1666号"
"高新
","成都大吉博物馆","非国有","无","成都市高新区科园南路2号"
"高新
","成都中药博物馆","非国有","无","成都市高新西区迪康大道1号"
"高新
","成都保前明清家具博物馆","非国有","无","成都市高新区新光路10号"
"高新
","成都门里博古文化艺术博物馆","非国有","无","成都市高新区紫荆南路54号附1号"
"高新
","成都九鼎现代文化艺术博物馆","非国有","无","成都市高新区紫荆南路54号附1号"
"高新
","成都三和老爷车博物馆","非国有","无","成都市高新区机场路新园南一路2号"
"高新
","成都和德儒玉器艺术博物馆","非国有","无","高新区天府大道北段环球中心1-1-1408"
"高新
","成都川江钱币博物馆","非国有","无","成都市高新区铁像寺路88号15幢"
"高新
","成都龙海青铜镜博物馆","非国有","无","成都市高新区神仙树西路3号二层"
"高新
","成都清越阁石雕艺术博物馆","非国有","无","成都市高新区天府大道中段美年国际广场1088号"
"高新
","成都清越阁陶瓷博物馆","非国有","无","成都市高新区天府大道中段美年国际广场1088号"
"高新
","成都清越阁玉器博物馆","非国有","无","成都市高新区天府大道中段美年国际广场1088号"
"锦江
","成都川剧艺术博物馆","国有","无","成都市华兴正街54号"
"锦江
","李氯斯示蛹湍罟","国有","无","成都市锦江区菱窠西路70号"
"锦江
","成都水井坊博物馆","非国有","无","成都市锦江区水井街 19 号"
"锦江
","成都许燎源现代设计艺术博物馆","非国有","无","成都市锦江区三圣乡红砂村水景广场"
"锦江
","成都懿水堂琥珀博物馆","非国有","无","成都市锦江区锦东路568号摩根中心写字楼二楼"
"锦江
","成都蜀山窑陶瓷艺术博物馆","非国有","无","成都市蒲江县明月村"
"青羊
","四川博物院","国有","一级","四川省成都市浣花南路251号"
"青羊
","成都隋唐窑址博物馆","国有","无","成都市一环路西二段31号"
"青羊
","成都杜甫草堂博物馆","国有","一级","成都市青羊区青华路37号"
"青羊
","成都博物馆","国有","无","成都市小河街1号"
"青羊
","成都画院书画博物馆","国有","无","青羊区下同仁路80号"
"青羊
","成都十二桥古蜀遗址博物馆","国有","无","成都市十二桥路18号"
"青羊
","成都・中国皮影博物馆","国有","无","成都市小河街1号"
"青羊
","成都金沙遗址博物馆","国有","一级","成都市青羊区金沙遗址路2号 "
"青羊
","四川电信博物馆","国有","无","成都市文庙前街72号"
"青羊
","成都慧园博物馆","非国有","无","成都市青羊区芳邻路3号"
"青羊
","成都巴蜀汉陶艺术博物馆","非国有","无","成都市青羊区酱园公所街9号"
"青羊
","成都大华玉器博物馆","非国有","无","成都市青羊区五岳宫街中岳巷"
"青羊
","成都蜀锦织绣博物馆","非国有","无","成都市草堂东路2号"
"青羊
","成都华珍藏羌文化博物馆","非国有","无","成都市青羊区文殊坊金马街58号   "
"青羊
","成都绿舟博物馆","非国有","无","成都市青羊区光华大道二段601号"
"青羊
","成都蜀绣博物馆","非国有","无","成都市草堂东路18号锦绣工场二楼"
"青羊
","成都芷萱阁微雕博物馆","非国有","无","成都市二环路西二段77号"
"青羊
","四川雅颂博物馆","非国有","无","成都市青羊区日月大道1132号"
"青羊
","成都京川蜀汉文物陈列室","非国有","无","京川宾馆内"
"青羊
","成都浣花溪蜀绣博物馆","非国有","无","成都市青羊区浣花南路306号"
"青羊
","成都两河木雕艺术博物馆","非国有","无","成都市崇州市羊马镇场镇村二、九组"
"金牛
","成都永陵博物馆","国有","二级 ","四川省成都市金牛区永陵路10号"
"金牛
","成都中医药大学博物馆","国有","无","成都市高新西区新创路5号"
"金牛
","四川易园园林艺术博物馆","非国有","三级","成都市金牛区金泉路8号"
"金牛
","成都天仁石刻艺术博物馆","非国有","无","成都市金牛区三洞桥路18号"
"金牛
","成都朱成石刻艺术博物馆","非国有","无","成都市金牛区青杠村二组99号"
"金牛
","四川茂林博物馆","非国有","无","成都市三洞桥路2号华业大厦601"
"金牛
","成都宇曜古灯文化博物馆","非国有","无","成都市金牛区金府路668号"
"武侯
","成都武侯祠博物馆","国有","一级","四川省成都市武侯祠大街231号"
"武侯
","成都直升机博物馆","国有","无","成都市武侯区华锦路100号"
"武侯
","华西口腔医学博物馆","国有","无","成都市人民南路三段14号"
"武侯
","四川大学博物馆","国有","无","成都市望江路19号"
"武侯
","西南民族大学博物馆","国有","无","成都市一环路南四段16号"
"武侯
","成都梦缘博物馆","非国有","无","成都市武侯区簇桥乡8组"
"武侯
","成都双剑鞋文化博物馆","非国有","无","成都市武侯区中国西部鞋都工业园B区凉水井村"
"武侯
","成都百家堂姓氏文化博物馆","非国有","无","成都市龙泉驿区三峨街999号博客小镇1-5"
"武侯
","成都顺达博物馆","非国有","无","成都市武侯区红牌楼一街179号"
"武侯
","四川泰来古代艺术博物馆","非国有","无","武侯区中国酒城"
"武侯
","成都瑞鑫汉陶艺术博物馆","非国有","无","成都市龙泉驿区三峨街999号博客小镇1-5"
"成华
","成都理工大学博物馆","国有","无","成都市成华区二仙桥东三路1号"
"成华
","成都工业文明博物馆","国有",,"成都市建设南路1号"
"成华
","成都李彬报纸博物馆","非国有","无","成都市成华区东华二路39号"
"龙泉驿
","成都市龙泉驿区博物馆","国有","无","成都市龙泉驿区洛带镇下街178号"
"龙泉驿
","四川客家博物馆","国有","无","成都市龙泉驿区洛带镇下街178号"
"龙泉驿
","明蜀王陵博物馆","国有","无","成都市龙泉驿区十陵镇大梁村"
"龙泉驿
","巴金纪念馆","国有","无","成都市龙泉驿龙都南路588号"
"龙泉驿
","成都饮食文化博物馆","国有","无","成都龙泉驿红岭路459号四川旅游学院"
"龙泉驿
","洛带邮政陈列馆","国有","无","龙泉驿区洛带镇中街"
"龙泉驿
","山泉桃文化陈列馆","国有","无","龙泉驿区山泉镇桃花故里"
"龙泉驿
","成都标榜古今发艺博物馆","非国有","无","成都市龙泉驿区阳光城同策路3号"
"龙泉驿
","成都标榜女红工艺博物馆","非国有","无","成都市龙泉驿区阳光城同策路4号"
"龙泉驿
","成都标榜当代土陶艺术博物馆","非国有","无","成都市龙泉驿区阳光城同策路5号"
"龙泉驿
","成都标榜川西古典家具博物馆","非国有","无","成都市龙泉驿区阳光城同策路6号"
"龙泉驿
","成都标榜民间传统养生技艺博物馆","非国有","无","成都市龙泉驿区阳光城同策路7号"
"龙泉驿
","成都泥邦陶瓷艺术博物馆","非国有","无","成都市龙泉驿区洛带古镇中街文化广场138号"
"龙泉驿
","成都民间艺术博物馆","非国有","无","成都市龙泉驿区龙都南路576号"
"龙泉驿
","成都艺天民俗文化博物馆","非国有","无","成都市龙泉驿区洛带镇三峨街999号博客小镇"
"龙泉驿
","成都川上雕刻艺术博物馆","非国有","无","成都市龙泉驿区龙都南路576号"
"龙泉驿
","成都龙泉驿区老泥窖酒文化博物馆","非国有","无","成都市龙泉驿区洛带镇三峨街999号博客小镇26-1"
"龙泉驿
","成都东山挂历博物馆","非国有","无","龙泉驿区洛带古镇上街广东会馆"
"青白江
","青白江彭家珍大将军专祠纪念馆","国有","无","成都市青白江区城厢镇公园路34号"
"青白江
","青白江区博物馆","国有","无","成都市青白江区凤凰湖二期田园广场旁"
"新都
","新都杨升庵博物馆","国有","二级 ","成都市新都区新都镇桂湖中路109号"
"新都
","新都博物馆","国有","无","成都市新都区新都镇桂湖中路89号"
"新都
","四川南方丝绸之路博物馆","非国有","无","成都市新都区三河街道二台子社区商业街C座1号 "
"新都
","成都市新都区古典家居文化博物馆","非国有","无","成都市新都区龙桥镇杏桂村6组"
"温江
","温江区博物馆","国有","无","成都市温江区文庙街6号"
"温江
","王光祈纪念馆","国有","无","成都市温江区置信城市公园内"
"温江
","成都天府花城石文化博物馆","非国有","无","成都温江区生态大道踏水段299号"
"温江
","成都澄园书画艺术博物馆","非国有","无","成都市温江区南熏大道三段702号"
"温江
","成都三邑园林盆景艺术博物馆","非国有","无","成都温江区万春镇黄石村三组"
"温江
","成都市人华奇石博物馆","非国有","无","成都市温江区生态大道踏水段299号"
"双流
","四川省三都博物馆","非国有","无","成都市双流县华阳镇迎宾大道38号"
"双流
","成都文清古蜀农耕文化博物馆","非国有","无","成都市双流区宜城大道一段316号"
"双流
","成都市双流县汉轩民俗艺术博物馆","非国有","无","成都市双流县金桥镇昆山村8社"
"郫都
","郫县博物馆","国有","无","成都市郫县郫筒镇望丛中路5号"
"郫都
","成都蜀都川菜产业文化博物馆","国有","无","成都市郫都区安德镇安唐路124号"
"郫都
","四川省鹿野苑私立石刻艺术博物馆","非国有","无","成都郫县新民场镇云桥村"
"郫都
","成都川菜博物馆","非国有","三级","成都市郫县古城镇荣华北巷8号"
"郫都
","郫县望丛玉器博物馆","非国有","无","成都市郫县望丛祠"
"郫都
","四川雄龙天工根石博物馆","非国有","无","成都市郫县新民场镇火星村"
"郫都
","成都大珍堂家具博物馆","非国有","无","成都郫县犀浦镇五粮村5组"
"郫都
","星期一闭馆1天，其余时间9:00-17:00开馆","非国有","无","成都市郫县友爱镇农科村"
"郫都
","成都蜀星郫县豆瓣文化博物馆","非国有","无","成都郫县郫筒镇成灌西路199号"
"郫都
","郫县曾氏蜀绣博物馆","非国有","无","成都郫县郫筒镇望丛中路7号"
"郫都
","成都郫县臻古堂家具博物馆","非国有","无","犀浦镇成都纺织高等专科学校北苑"
"郫都
","郫县民俗博物馆","非国有","无","郫县红光镇宋家林村4组"
"简阳
","简阳市文管所文物陈列室","国有","无","成都市简阳市白塔园"
"都江堰
","都江堰市博物馆","国有","无","都江堰市奎光路81号"
"都江堰
","王小波李顺陈列馆","国有","无","都江堰市青城山镇沙坪村四组  "
"都江堰
","虹口深溪沟地震遗迹纪念地陈列馆","国有","无","都江堰市虹口乡深溪社区"
"都江堰
","成都乌木艺术博物馆","非国有","无","成都市都江堰市中兴镇梅花村花木城"
"都江堰
","成都华希昆虫博物馆","非国有","三级","成都都江堰市青城山镇青城大道1号附1号"
"都江堰
","拉法基瑞安金凤窑博物馆","非国有","无","都江堰市金凤乡"
"都江堰
","成都皮影艺术博物馆","非国有","无","成都市都江堰市中兴镇花木城"
"都江堰
","成都赵树同艺术与收藏馆","非国有","无","成都市都江堰市中兴镇花木城"
"彭州
","彭州市博物馆","国有","三级","彭州市天彭镇西干道西段"
"邛崃
","邛崃市博物馆","国有","无","成都市邛崃市大北街"
"邛崃
","红军长征邛崃纪念馆","国有","无","邛崃市高何镇高兴村"
"邛崃
","成都诚林金丝楠乌木博物馆","非国有","无","邛崃市羊安工业园区新邛路十四号 "
"邛崃
","成都尔玛民俗博物馆","非国有","无","邛崃市火井镇河北街"
"邛崃
","邛崃市当代孝道文化博物馆","非国有","无","邛崃市固驿镇"
"邛崃
","邛崃市古韵博物馆","非国有","无","邛崃市文昌街605号"
"崇州
","崇州市博物馆","国有","无","崇州市大东街306号"
"崇州
","崇州市罨画池博物馆","国有","无","崇州市大东街54号"
"崇州
","成都道可古典家具博物馆","非国有","无","崇州市羊马镇场镇村二、九组"
"崇州
","成都崇州市天演博物馆","非国有","无","崇州市经济开发区崇阳大道258号"
"金堂
","金堂县沱江文化博物馆","非国有","无","金堂县白果镇漩水湾"
"金堂
","成都贺麟故居纪念馆","非国有","无","金堂县五凤镇金箱村2组5栋"
"新津
","新津县纯阳观博物馆","国有","无","四川省成都市新津县纯阳路313号"
"新津
","成都市九百村奇石根雕博物馆","非国有","无","成都市新津县新坪镇团结村58幢"
"新津
","成都香米园汉陶艺术博物馆","非国有","无","成都市新津县五津镇忠义路120号"
"新津
","成都新岳艺术博物馆","非国有","无","成都市新津县邓双镇金龙村一组46号  "
"新津
","成都蜀江博物馆","非国有","无","成都市新津县永商镇四组"
"新津
","成都市文宝轩博物馆","非国有","无","成都市新津县五津镇武阳东路2号"
"新津
","成都刻韵木刻博物馆","非国有","无","新津县永商镇梨花大道一段738号"
"新津
","成都石韵石雕博物馆","非国有","无","新津县永商镇梨花大道一段738号"
"新津
","成都k^陶瓷博物馆","非国有","无","新津县永商镇梨花大道一段738号"
"大邑
","5・12抗震救灾纪念馆","国有","无","成都市大邑县安仁镇迎宾路二段550号   "
"大邑
","大邑县刘氏庄园博物馆","国有","三级  ","四川省成都市大邑县安仁镇金桂街15号"
"大邑
","四川省建川博物馆","非国有","三级","成都市大邑县安仁镇"
"大邑
","成都市共品钱币博物馆","非国有","无","成都市大邑县安仁镇民国风情街二期一号馆"
"大邑
","成都市大邑县德源丝织博物馆","非国有","无","成都大邑县安仁镇安仁庄园街25号"
"大邑
","成都砚湖砚文化博物馆","非国有","无","成都市大邑县安仁镇大安路6999号"
"蒲江
","蒲江县博物馆","国有","无","蒲江县大北街59号"
"蒲江
","蒲江明月轩篆刻艺术博物馆（传习所）","非国有","无","蒲江县甘溪镇新民村10组"
"蒲江
","蒲江县潇雅书画艺术博物馆","非国有","无","西来镇文风街23号"